hero_id,object_id
9,428
9,65
9,422
9,187
9,205
9,441
9,559
9,489
9,592
9,214
9,440
9,442
9,380
9,460
9,93
9,249
9,289
9,178
9,207
9,337
9,525
9,390
9,211
9,362
9,195
9,110
9,108
9,267
9,499
9,426
9,447
9,277
9,700
9,175
9,153
9,158
9,458
9,304
9,38
9,221
9,653
9,318
9,557
9,534
9,302
9,286
9,105
9,435
9,10
9,190
9,327
9,80
9,347
9,315
9,553
9,48
9,590
9,133
9,342
9,81
9,119
9,64
9,63
9,507
9,28
9,594
9,565
9,103
9,370
9,616
9,546
9,396
9,37
9,477
9,571
9,246
9,335
9,403
9,151
9,543
9,578
9,193
9,595
9,49
9,50
9,607
9,551
9,295
9,349
9,25
9,542
9,266
9,429
9,209
9,350
9,538
9,191
9,99
9,210
9,137
9,138
9,560
9,136
9,282
9,468
9,548
9,549
9,174
9,89
9,650
9,186
9,23
9,97
9,55
9,189
9,56
9,671
9,72
9,364
9,678
9,168
9,15
9,454
9,279
9,130
9,418
9,646
9,176
9,432
9,425
9,378
9,642
9,643
9,645
9,54
9,530
9,285
9,95
9,125
9,278
9,188
9,77
9,258
9,309
9,68
9,368
9,692
9,145
9,355
9,409
9,219
9,86
9,101
9,480
9,51
9,448
9,501
9,502
9,218
9,9
9,695
9,698
9,467
9,696
9,536
9,85
9,111
9,345
9,239
9,147
9,324
9,172
9,329
9,344
9,580
9,290
9,385
9,360
9,251
9,505
9,589
9,123
9,394
9,397
9,139
9,461
9,310
9,443
9,24
9,376
9,281
9,457
9,527
9,431
9,162
9,693
9,492
9,356
9,354
9,381
9,569
9,576
9,433
9,194
9,134
9,636
9,521
9,252
9,664
9,586
9,588
9,254
9,473
9,372
9,52
9,656
9,43
9,321
9,566
9,352
9,238
9,674
9,675
9,600
9,22
9,177
9,12
9,404
9,257
9,293
9,152
9,204
9,18
9,42
9,596
9,201
9,514
9,60
9,484
9,651
9,555
9,271
9,104
9,405
9,399
9,83
9,241
9,230
9,312
9,456
9,142
9,573
14,655
14,411
14,410
14,648
14,647
14,14
14,61
14,156
14,234
14,29
14,159
14,416
14,367
14,498
14,486
14,323
14,213
14,699
14,638
14,639
14,11
14,688
14,626
14,471
14,182
14,109
14,16
14,445
14,34
14,150
14,522
14,306
14,126
14,547
14,463
14,503
14,383
14,363
14,84
14,374
14,556
14,66
14,288
14,92
14,632
14,346
14,250
14,67
14,305
14,449
14,450
14,57
14,273
14,270
14,272
14,353
14,490
14,102
14,197
14,263
14,116
14,681
14,265
14,393
14,268
14,41
14,687
14,47
14,307
14,45
14,682
14,240
14,128
14,685
2,181
2,163
2,173
2,504
2,17
2,179
2,143
2,319
2,389
2,598
2,550
2,659
2,476
2,494
2,597
2,430
2,464
2,510
2,564
2,280
2,563
2,462
2,87
2,497
2,26
2,512
2,558
2,76
2,351
2,244
2,245
2,32
2,561
2,164
2,243
2,261
2,535
2,554
2,545
2,235
2,629
2,129
2,421
2,604
2,301
2,439
2,6
2,634
2,613
2,609
2,311
2,284
2,637
2,539
2,361
2,96
2,46
2,562
2,339
2,371
2,446
2,577
2,506
2,652
6,690
6,216
6,253
6,75
6,161
6,375
6,635
6,584
6,53
6,520
6,340
6,325
6,408
6,495
6,320
6,13
6,366
6,684
6,680
6,217
6,585
6,583
6,567
6,523
6,148
6,697
6,296
6,259
6,541
6,115
6,517
6,391
6,434
6,7
6,579
6,157
6,255
6,526
6,330
6,39
6,623
6,203
6,373
6,532
6,227
6,170
6,33
6,248
6,332
6,232
6,117
6,127
6,423
6,144
6,531
6,654
6,113
6,260
6,183
6,40
6,694
6,140
6,199
6,488
6,223
6,91
6,184
6,568
6,31
6,387
6,599
6,206
6,485
6,402
6,401
6,3
6,2
6,620
6,35
6,459
6,420
6,369
6,679
6,1
6,691
1,669
1,453
1,185
1,196
1,406
1,74
1,672
1,299
1,59
1,630
1,496
1,220
1,475
1,487
1,167
1,631
1,27
1,71
1,303
1,618
1,120
1,154
1,122
1,673
1,79
1,107
1,508
1,667
1,313
1,155
1,605
1,338
1,395
1,334
1,392
1,314
1,291
1,333
1,419
1,236
1,336
1,407
1,98
1,668
1,114
1,417
1,359
1,149
1,415
1,509
1,537
1,226
1,118
1,4
1,452
1,58
1,62
1,348
1,455
1,275
1,160
1,591
1,256
1,644
1,412
1,276
1,222
1,21
1,94
1,511
1,229
1,82
5,165
5,88
5,414
5,612
5,689
5,621
5,575
5,513
5,326
5,615
5,388
5,90
5,274
5,469
5,470
5,322
5,308
5,171
5,437
5,614
5,665
5,472
5,78
5,341
5,180
5,316
5,683
5,124
5,141
5,169
5,516
5,73
5,663
5,283
5,19
5,300
5,224
5,500
5,231
5,358
5,478
5,20
5,581
5,30
5,438
5,106
5,413
5,36
5,649
5,377
5,343
5,593
5,617
5,287
5,479
5,627
5,570
5,100
5,121
5,400
5,640
5,242
5,660
5,633
5,384
4,5
4,228
4,70
4,379
4,237
4,574
4,444
4,331
4,483
4,482
4,212
4,198
4,466
4,294
4,602
4,540
4,481
4,200
4,292
4,552
4,622
4,8
4,269
4,524
4,328
4,135
4,264
4,544
4,233
4,603
4,601
4,529
4,628
4,247
4,166
4,465
4,493
4,491
4,518
4,606
4,519
4,662
4,611
4,608
4,427
4,641
4,382
4,192
4,624
4,365
4,528
4,297
4,298
4,132
4,619
4,677
4,386
4,424
4,661
4,215
4,474
4,436
4,625
4,112
4,208
4,317
4,225
4,69
4,451
4,587
4,666
